#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
6,Enphase Energy,San Francisco Bay Area,USA,North America,350,2023-12-18,10.0,3500,3150,Energy,Post-IPO,$116,2023,37.54827,-121.98857
14,Cruise,San Francisco Bay Area,USA,North America,900,2023-12-14,24.0,3750,2850,Transportation,Acquired,$15000,2023,37.77493,-122.41942
16,Bolt,San Francisco Bay Area,USA,North America,130,2023-12-14,29.0,450,320,Finance,Series E,$1300,2023,37.77493,-122.41942
20,Invitae,San Francisco Bay Area,USA,North America,235,2023-12-13,15.0,1567,1332,Healthcare,Post-IPO,2500,2023,37.77493,-122.41942
21,Etsy,New York City,USA,North America,225,2023-12-13,11.0,2045,1820,Retail,Post-IPO,$97,2023,40.71427,-74.00597
27,Chipper Cash,San Francisco Bay Area,USA,North America,15,2023-12-11,33.0,45,30,Finance,Series C,$302,2023,37.77493,-122.41942
31,Zulily,Seattle,USA,North America,839,2023-12-08,100.0,839,0,Retail,Acquired,$194,2023,47.60621,-122.33207
38,Navan,San Francisco Bay Area,USA,North America,145,2023-12-05,5.0,2900,2755,Finance,Unknown,2200,2023,37.44188,-122.14302
56,Unity,San Francisco Bay Area,USA,North America,265,2023-11-28,4.0,6625,6360,Other,Post-IPO,$1300,2023,37.77493,-122.41942
57,Dataminr,New York City,USA,North America,150,2023-11-28,20.0,750,600,AI,Series F,$1100,2023,40.71427,-74.00597
62,Our Next Energy,Detroit,USA,North America,128,2023-11-27,25.0,512,384,Transportation,Series B,$390,2023,42.33143,-83.04575
91,TripAdvisor,Boston,USA,North America,125,2023-11-12,4.0,3125,3000,Travel,Post-IPO,$3,2023,42.35843,-71.05977
110,Viasat,San Diego,USA,North America,800,2023-11-02,10.0,8000,7200,Other,Post-IPO,$366,2023,32.71571,-117.16472
111,Beyond Meat,Los Angeles,USA,North America,65,2023-11-02,8.0,813,748,Food,Post-IPO,$122,2023,34.05223,-118.24368
115,Splunk,San Francisco Bay Area,USA,North America,500,2023-11-01,7.0,7143,6643,Data,Post-IPO,$2400,2023,37.77493,-122.41942
116,Faire,San Francisco Bay Area,USA,North America,250,2023-11-01,20.0,1250,1000,Retail,Series G,$1700,2023,37.77493,-122.41942
117,Sana Benefits,Austin,USA,North America,73,2023-11-01,50.0,146,73,HR,Series B,$106,2023,30.26715,-97.74306
122,Hippo Insurance,San Francisco Bay Area,USA,North America,120,2023-10-26,20.0,600,480,Finance,Post-IPO,$1300,2023,37.44188,-122.14302
130,SiFive,San Francisco Bay Area,USA,North America,130,2023-10-24,20.0,650,520,Hardware,Series F,$365,2023,37.35411,-121.95524
135,Nomad Health,New York City,USA,North America,119,2023-10-20,17.0,700,581,Healthcare,Unknown,$218,2023,40.71427,-74.00597
138,Convoy,Seattle,USA,North America,500,2023-10-19,100.0,500,0,Logistics,Series E,$1100,2023,47.60621,-122.33207
139,Bullhorn,Boston,USA,North America,140,2023-10-19,9.0,1556,1416,Sales,Acquired,$32,2023,42.35843,-71.05977
151,LinkedIn,San Francisco Bay Area,USA,North America,660,2023-10-16,3.0,22000,21340,Recruiting,Acquired,$154,2023,37.36883,-122.03635
153,C2FO,Kansas City,USA,North America,80,2023-10-16,3.0,2667,2587,Finance,Series H,$537,2023,39.09973,-94.57857
162,Lending Club,San Francisco Bay Area,USA,North America,172,2023-10-12,14.0,1229,1057,Finance,Post-IPO,$392,2023,37.77493,-122.41942
163,MariaDB,San Francisco Bay Area,USA,North America,84,2023-10-12,28.0,300,216,Data,Post-IPO,$272,2023,37.48522,-122.23635
164,Deepgram,San Francisco Bay Area,USA,North America,20,2023-10-11,20.0,100,80,AI,Series B,$86,2023,37.77493,-122.41942
167,Carbon Health,San Francisco Bay Area,USA,North America,114,2023-10-09,5.0,2280,2166,Healthcare,Series D,$522,2023,37.77493,-122.41942
172,InvestCloud,Los Angeles,USA,North America,80,2023-10-06,5.0,1600,1520,Finance,Private Equity …,$54,2023,34.05223,-118.24368
179,SchoolMint,San Francisco Bay Area,USA,North America,29,2023-10-05,14.0,207,178,Education,Acquired,$8,2023,37.77493,-122.41942
183,Qualtrics,Salt Lake City,USA,North America,780,2023-10-04,14.0,5571,4791,Other,Post-IPO,$400,2023,40.76078,-111.89105
191,Chainalysis,New York City,USA,North America,150,2023-10-02,15.0,1000,850,Crypto,Series F,$536,2023,40.71427,-74.00597
192,Synapse,San Francisco Bay Area,USA,North America,86,2023-10-02,40.0,215,129,Finance,Series B,$50,2023,37.77493,-122.41942
193,Chia Network,San Francisco Bay Area,USA,North America,26,2023-10-02,37.0,70,44,Crypto,Series D,$70,2023,37.77493,-122.41942
196,Cowbell,San Francisco Bay Area,USA,North America,28,2023-09-29,12.0,233,205,Finance,Series B,$123,2023,37.66243,-121.87468
200,Epic Games,Raleigh,USA,North America,870,2023-09-28,16.0,5438,4568,Consumer,Unknown,6400,2023,35.7721,-78.63861
207,Flexe,Seattle,USA,North America,131,2023-09-26,33.0,397,266,Logistics,Series D,$263,2023,47.60621,-122.33207
209,Lucid Software,Salt Lake City,USA,North America,75,2023-09-25,7.0,1071,996,Other,Series E,$170,2023,40.76078,-111.89105
227,Airtable,San Francisco Bay Area,USA,North America,237,2023-09-14,27.0,878,641,Product,Series F,$1400,2023,37.77493,-122.41942
229,VideoAmp,Los Angeles,USA,North America,40,2023-09-14,10.0,400,360,Marketing,Series F,$456,2023,34.05223,-118.24368
233,Evolve,Denver,USA,North America,175,2023-09-12,20.0,875,700,Travel,Series F,$224,2023,39.73915,-104.9847
237,At-Bay,San Francisco Bay Area,USA,North America,27,2023-09-12,9.0,300,273,Security,Unknown,$296,2023,37.77493,-122.41942
239,Chargebee,San Francisco Bay Area,USA,North America,100,2023-09-11,10.0,1000,900,Finance,Series H,$468,2023,37.77493,-122.41942
241,Grabango,San Francisco Bay Area,USA,North America,34,2023-09-11,40.0,85,51,Food,Unknown,$94,2023,37.87159,-122.27275
247,Drift,Boston,USA,North America,100,2023-09-07,25.0,400,300,Marketing,Acquired,$107,2023,42.35843,-71.05977
249,Roku,San Francisco Bay Area,USA,North America,360,2023-09-06,10.0,3600,3240,Media,Post-IPO,$208,2023,37.33939,-121.89496
